,id,premium,name,department,has_test,response_letter_required,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,contacts,working_days,working_time_intervals,working_time_modes,accept_temporary,area.id,area.name,area.url,salary.from,salary.to,salary.currency,salary.gross,type.id,type.name,employer.id,employer.name,employer.url,employer.alternate_url,employer.logo_urls.240,employer.logo_urls.90,employer.logo_urls.original,employer.vacancies_url,employer.trusted,snippet.requirement,snippet.responsibility,schedule.id,schedule.name,address.city,address.street,address.building,address.description,address.lat,address.lng,address.raw,address.metro,address.metro_stations,address.id,address.metro.station_name,address.metro.line_name,address.metro.station_id,address.metro.line_id,address.metro.lat,address.metro.lng,salary,department.id,department.name,employer.logo_urls
17,55529428,False,Junior/Middle Data Engineer,,False,False,,,,2022-06-03T11:33:37+0300,2022-06-03T11:33:37+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55529428,,https://api.hh.ru/vacancies/55529428?host=hh.ru,https://api.hh.ru/vacancies/55529428/adv_response?host=hh.ru,https://hh.ru/vacancy/55529428,[],,[],[],[],False,2,Санкт-Петербург,https://api.hh.ru/areas/2,,,,,open,Открытая,2748,Ростелеком,https://api.hh.ru/employers/2748,https://hh.ru/employer/2748,https://hhcdn.ru/employer-logo/2812976.jpeg,https://hhcdn.ru/employer-logo/2812975.jpeg,https://hhcdn.ru/employer-logo-original/592930.jpg,https://api.hh.ru/vacancies?employer_id=2748,True,"Владение Python на уровне обработки данных. Опыт работы в Linux средах. Знание общих принципов <highlighttext>Data</highlighttext> Governance, опыт работы с Jira...",Контроль и улучшение качества данных. Разработка интеграционных решений и ETL-процессов. Поддержка разработанных решений и уровня сервиса. Разработка и администрирование...,remote,Удаленная работа,,,,,,,,,,,,,,,,,,,,
18,66572226,False,Data Engineer,,False,False,,,,2022-06-03T12:46:49+0300,2022-06-03T12:46:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66572226,,https://api.hh.ru/vacancies/66572226?host=hh.ru,https://api.hh.ru/vacancies/66572226/adv_response?host=hh.ru,https://hh.ru/vacancy/66572226,[],,[],[],[],False,160,Алматы,https://api.hh.ru/areas/160,,,,,open,Открытая,1815645,Improvado,https://api.hh.ru/employers/1815645,https://hh.ru/employer/1815645,https://hhcdn.ru/employer-logo/2279657.png,https://hhcdn.ru/employer-logo/2279656.png,https://hhcdn.ru/employer-logo-original/459447.png,https://api.hh.ru/vacancies?employer_id=1815645,True,"Fast coding :). Metric layer project/product (cube.dev / metriql, google <highlighttext>data</highlighttext> studio). Experience with Google Big Query / DBT. Strong Product/Market...","Support and develop QA <highlighttext>data</highlighttext> models (DBT, clickhouse). Support BI (google <highlighttext>data</highlighttext> studio).",fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
19,55315564,False,Data Engineer (GameDev),,False,False,,,,2022-06-04T16:47:33+0300,2022-06-04T16:47:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55315564,,https://api.hh.ru/vacancies/55315564?host=hh.ru,https://api.hh.ru/vacancies/55315564/adv_response?host=hh.ru,https://hh.ru/vacancy/55315564,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,200000.0,,RUR,False,open,Открытая,3380507,AppQuantum,https://api.hh.ru/employers/3380507,https://hh.ru/employer/3380507,https://hhcdn.ru/employer-logo/2799480.png,https://hhcdn.ru/employer-logo/2799479.png,https://hhcdn.ru/employer-logo-original/589556.png,https://api.hh.ru/vacancies?employer_id=3380507,True,"Python - pandas, многопоточность, асинхронность, профилирование кода. Database - Clickhouse, Postgres, умение работать с вложенными запросами и оконными функциями, оптимизация запросов. Docker. ","Разрабатывать ETL скрипты для новых источников данных. Оптимизировать и ускорять ETL скрипты. Оптимизировать схемы баз данных (clickhouse, postgres). ",fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
20,55536508,False,Software Engineer (Python/Data/MLOps),,False,False,,,,2022-06-05T20:14:34+0300,2022-06-05T20:14:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55536508,,https://api.hh.ru/vacancies/55536508?host=hh.ru,https://api.hh.ru/vacancies/55536508/adv_response?host=hh.ru,https://hh.ru/vacancy/55536508,[],,[],[],[],False,2,Санкт-Петербург,https://api.hh.ru/areas/2,4000.0,6000.0,USD,False,open,Открытая,3455245,Alber Blanc,https://api.hh.ru/employers/3455245,https://hh.ru/employer/3455245,https://hhcdn.ru/employer-logo/3080261.jpeg,https://hhcdn.ru/employer-logo/3080260.jpeg,https://hhcdn.ru/employer-logo-original/659782.jpg,https://api.hh.ru/vacancies?employer_id=3455245,True,"Питонист уровня анаконда, который умеет в дата-<highlighttext>инженерию</highlighttext> и MLOps. Опыт написания оберток Python к С или встраивания в С. ","Разработка, развитие и поддержка пайплайна для регулярного обучения-валидации-деплоя моделей. Поддержка и развитие слоя выгрузки данных из самописного хранилища...",flexible,Гибкий график,,,,,,,,,,,,,,,,,,,,
21,66545425,False,"Machine Learning Engineer (ML, Infrastructure)",,False,False,,,,2022-06-05T14:38:04+0300,2022-06-05T14:38:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66545425,,https://api.hh.ru/vacancies/66545425?host=hh.ru,https://api.hh.ru/vacancies/66545425/adv_response?host=hh.ru,https://hh.ru/vacancy/66545425,[],,[],[],[],True,1,Москва,https://api.hh.ru/areas/1,3000.0,,EUR,False,open,Открытая,5103893,Greenscreens.AI,https://api.hh.ru/employers/5103893,https://hh.ru/employer/5103893,,,,https://api.hh.ru/vacancies?employer_id=5103893,True,"Skills. 3 years work experience as a <highlighttext>Data</highlighttext> Scientist/ML <highlighttext>Engineer</highlighttext> or similar role. Familiar with Python (jupyter notebook, pandas...","...improvement for Rate <highlighttext>Engine</highlighttext> by manipulation with different algorithms, experimenting with new features and their encoding, filtering <highlighttext>data</highlighttext>. ",remote,Удаленная работа,,,,,,,,,,,,,,,,,,,,
22,66141653,False,Middle/Senior Data Scientist,,False,False,,,,2022-06-05T14:42:27+0300,2022-06-05T14:42:27+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66141653,,https://api.hh.ru/vacancies/66141653?host=hh.ru,https://api.hh.ru/vacancies/66141653/adv_response?host=hh.ru,https://hh.ru/vacancy/66141653,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,200000.0,,RUR,True,open,Открытая,2968394,JuicyScore,https://api.hh.ru/employers/2968394,https://hh.ru/employer/2968394,https://hhcdn.ru/employer-logo/3643800.png,https://hhcdn.ru/employer-logo/3643799.png,https://hhcdn.ru/employer-logo-original/800728.png,https://api.hh.ru/vacancies?employer_id=2968394,True,Знание принципов обработки данных в продуктивных (и высоконагруженных !) онлайн систем; практический опыт в <highlighttext>data</highlighttext> <highlighttext>engineering</highlighttext>. Знание на продвинутом уровне популярных...,"Исследование и инжиниринг новых атрибутов и ""фич"" для развития нашего скорингового продукта. Проектирование новых атрибутов продукта для повышения его информативности. ",fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
23,55536509,False,Software Engineer (Python/Data/MLOps),,False,False,,,,2022-06-05T20:14:34+0300,2022-06-05T20:14:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55536509,,https://api.hh.ru/vacancies/55536509?host=hh.ru,https://api.hh.ru/vacancies/55536509/adv_response?host=hh.ru,https://hh.ru/vacancy/55536509,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,4000.0,6000.0,USD,False,open,Открытая,3455245,Alber Blanc,https://api.hh.ru/employers/3455245,https://hh.ru/employer/3455245,https://hhcdn.ru/employer-logo/3080261.jpeg,https://hhcdn.ru/employer-logo/3080260.jpeg,https://hhcdn.ru/employer-logo-original/659782.jpg,https://api.hh.ru/vacancies?employer_id=3455245,True,"Питонист уровня анаконда, который умеет в дата-<highlighttext>инженерию</highlighttext> и MLOps. Опыт написания оберток Python к С или встраивания в С. ","Разработка, развитие и поддержка пайплайна для регулярного обучения-валидации-деплоя моделей. Поддержка и развитие слоя выгрузки данных из самописного хранилища...",flexible,Гибкий график,,,,,,,,,,,,,,,,,,,,
24,66536965,False,Data Engineer (ClickHouse),,False,False,,,,2022-06-05T11:30:01+0300,2022-06-05T11:30:01+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66536965,,https://api.hh.ru/vacancies/66536965?host=hh.ru,https://api.hh.ru/vacancies/66536965/adv_response?host=hh.ru,https://hh.ru/vacancy/66536965,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,,,,,open,Открытая,4934,билайн,https://api.hh.ru/employers/4934,https://hh.ru/employer/4934,https://hhcdn.ru/employer-logo/4050092.png,https://hhcdn.ru/employer-logo/4050091.png,https://hhcdn.ru/employer-logo-original/902351.png,https://api.hh.ru/vacancies?employer_id=4934,True,"...управления проектом (Azure DevOps, Jira) и управления документацией (Confluence, Sharepoint). Знания принципов обработки больших данных (Big <highlighttext>Data</highlighttext>) и машинного обучения.","Участие в обучении новых сотрудников по профилю <highlighttext>инженериии</highlighttext> данных, наращивание экспертизы в департаменте архитектуры и инфраструктуры. Формирование, описание витрины данных...",fullDay,Полный день,,,,,,,,,,,,,,,,,,bil-4934-it,"билайн: ИТ, Data, Digital",
25,55568998,False,Data Engineer (на Кипр),,False,False,,,,2022-06-02T18:26:34+0300,2022-06-02T18:26:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55568998,,https://api.hh.ru/vacancies/55568998?host=hh.ru,https://api.hh.ru/vacancies/55568998/adv_response?host=hh.ru,https://hh.ru/vacancy/55568998,[],,[],[],[],False,2,Санкт-Петербург,https://api.hh.ru/areas/2,,,,,open,Открытая,1876072,Quadcode,https://api.hh.ru/employers/1876072,https://hh.ru/employer/1876072,https://hhcdn.ru/employer-logo/3975364.png,https://hhcdn.ru/employer-logo/3975363.png,https://hhcdn.ru/employer-logo-original/883666.png,https://api.hh.ru/vacancies?employer_id=1876072,True,Наши ожидания от кандидата (общий опыт работы с большинством технологий от 1-го года): Ansible. Опыт работы с терминалом. ,Будущие задачи: Интеграция новых источников. Написание витрин совместно с аналитиками. Реакция на инциденты совместно с <highlighttext>Data</highlighttext> Quality <highlighttext>инженерами</highlighttext>. ,flexible,Гибкий график,Санкт-Петербург,Малоохтинский проспект,64В,,59.932175,30.403166,"Санкт-Петербург, Малоохтинский проспект, 64В",,[],6898780,,,,,,,,,,
26,54346860,False,"Platform Engineering Manager - Java, Big Data (to Canada/Serbia)",,False,False,,,,2022-06-04T06:45:12+0300,2022-06-04T06:45:12+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54346860,,https://api.hh.ru/vacancies/54346860?host=hh.ru,https://api.hh.ru/vacancies/54346860/adv_response?host=hh.ru,https://hh.ru/vacancy/54346860,[],,[],[],[],False,2,Санкт-Петербург,https://api.hh.ru/areas/2,10000.0,13000.0,USD,True,open,Открытая,1767241,Behavox,https://api.hh.ru/employers/1767241,https://hh.ru/employer/1767241,https://hhcdn.ru/employer-logo/3724688.jpeg,https://hhcdn.ru/employer-logo/3724687.jpeg,https://hhcdn.ru/employer-logo-original/820950.jpg,https://api.hh.ru/vacancies?employer_id=1767241,True,"3 years leading highly technical <highlighttext>engineering</highlighttext> teams - People management (hiring and layoff), Performance management skills (coaching & mentoring). Proven track record...","Lead a team of talented back-end software <highlighttext>engineers</highlighttext> to design, plan, develop and deploy improvements to back-end platform...",fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
